LotNo=8J208472500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTestDate=2023/06/06 AM 09:09:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal,Spec,Fmodel,Rmodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EquipmentID=AWPRF22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatorID=25370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Vf1,Vf2,Vr1,Ir1,Rs,Iv2,Wd2,Wp2,Hw2,Vf3,Iv3,Wd3,X,Y,Vf0,Thy1,Thy2,PEAK1,Ir2,Wp3,Purity2,Hw3,Purity3,Ir3,Vf4,Iv4,Wd4,Wp4,Purity4,HW4,Vf5,Vr2,Vr3,Ir4,Ir5,WdWp2,WdWp3,WdWp4,WPE2,WPE3,DWPE,POI2,POI3,DPOI
SN,Vf1,Vf2,Vr1,Ir1,Rs,Iv2,Wd2,Wp2,Hw2,Vf3,Iv3,Wd3,X,Y,Vf0,Thy1,Thy2,PEAK1,Ir2,Wp3,Purity2,Hw3,Purity3,Ir3,Vf4,Iv4,Wd4,Wp4,Purity4,HW4,Vf5,Vr2,Vr3,Ir4,Ir5,WdWp2,WdWp3,WdWp4,WPE2,WPE3,DWPE,POI2,POI3,DPOI
1,1.5149,3.266,17.8,1.0894,1482.28,1473.07,447.8,441.22,21.39,3.266,1473.07,447.8,103,103,1.6598,1.7634,2.1215,2.2901,0.8228,458.14,0.4534,18.4,0.8247,2.1027,2.1215,1473.07,447.8,441.22,2.0768,21.04,3.266,17.8,17.8,1.0894,1.0894,56.68,78.5,59.99,55.1,50.9,59.71,69.51,30.49,68.36
2,2.2125,3.4543,14.2,1.2206,1412.15,1110.08,440.26,453.85,20.41,3.4543,1110.08,440.26,104,103,2.4139,2.1989,2.012,1.6511,1.7265,452.64,1.7755,22,2.3074,1.3675,2.012,1110.08,440.26,453.85,1.7801,18.45,3.4543,14.2,14.2,1.2206,1.2206,56.4,72.43,68.53,49.71,73,61.96,39.91,47.64,40.25
3,1.6516,2.9233,48.8,1.5037,1058.94,841.76,447.23,445.98,19.81,2.9233,841.76,447.23,105,103,2.069,2.3593,1.6092,2.2243,0.3733,447.62,1.1794,18.79,1.2985,0.1372,1.6092,841.76,447.23,445.98,1.3864,20.08,2.9233,48.8,48.8,1.5037,1.5037,71.65,41.37,67.42,67.99,43.85,63.27,78.61,57.59,38.02
4,2.3741,3.4845,13.9,1.4469,1348.04,826.74,440.73,448.65,21.51,3.4845,826.74,440.73,106,103,1.9223,2.2967,1.8646,2.3599,0.5439,453.43,2.3814,18.27,0.1078,0.8995,1.8646,826.74,440.73,448.65,0.0733,21.92,3.4845,13.9,13.9,1.4469,1.4469,52.57,35.94,37.51,40.13,72.67,54.4,68.61,61.07,39.28
5,2.292,3.1385,41.3,2.3565,975.94,1179.93,453.77,451.85,19.47,3.1385,1179.93,453.77,107,103,1.7752,2.1799,1.533,2.2444,2.5645,447.63,0.6945,21.33,1.6993,0.7842,1.533,1179.93,453.77,451.85,1.0979,20.39,3.1385,41.3,41.3,2.3565,2.3565,57.73,56.79,30.2,31.68,54.69,76.82,76.85,75.9,63.85
6,1.7262,3.4632,16.6,0.777,1059.13,1186.36,458.6,459.58,21.67,3.4632,1186.36,458.6,108,103,1.7611,2.4489,2.4277,2.1644,1.8869,451.54,0.7144,18.58,2.9757,1.5417,2.4277,1186.36,458.6,459.58,2.1733,19.17,3.4632,16.6,16.6,0.777,0.777,62.01,62.68,57.99,40.05,76.05,37.97,65.42,61.67,59.57
7,1.8464,3.1725,36.6,1.7466,907.25,1332.46,445.61,450.28,19.79,3.1725,1332.46,445.61,109,103,2.4921,1.7448,2.2441,1.6929,2.4041,455.37,0.7247,19.61,1.4177,0.2929,2.2441,1332.46,445.61,450.28,2.705,19.36,3.1725,36.6,36.6,1.7466,1.7466,79.03,37.77,72.79,41,66.03,73.57,32.46,57.52,46.99
8,1.688,2.9754,25.1,1.3152,919.36,1360.37,446.71,446.68,18.16,2.9754,1360.37,446.71,110,103,2.4953,1.5867,1.9355,2.2857,1.4481,455.09,2.7216,20.4,2.1463,0.776,1.9355,1360.37,446.71,446.68,0.0208,19.33,2.9754,25.1,25.1,1.3152,1.3152,49.75,63.72,47.94,68.97,43.51,60.09,34.06,40.14,38.11
9,1.6262,3.1304,45.1,1.3752,1355.36,972.56,452.8,450.97,19.44,3.1304,972.56,452.8,111,103,1.5858,2.4746,1.9393,1.534,2.0094,442.2,2.497,21.46,2.9037,1.6327,1.9393,972.56,452.8,450.97,1.7565,21.48,3.1304,45.1,45.1,1.3752,1.3752,59.1,39.91,77.42,42.41,41.71,48.47,76.29,38,50.86
